iter	Passed	Remaining
0	230	115202
1	466	116094
2	633	104994
3	798	99030
4	934	92489
5	1102	90787
6	1346	94799
7	1526	93878
8	1767	96422
9	1995	97793
10	2195	97586
11	2377	96684
12	2619	98134
13	2802	97287
14	3058	98901
15	3241	98054
16	3571	101471
17	3757	100619
18	4099	103790
19	4397	105538
20	4721	107689
21	4968	107958
22	5273	109364
23	5519	109477
24	5689	108101
25	5921	107957
26	6155	107836
27	6332	106739
28	6492	105441
29	6575	103014
30	6737	101930
31	7056	103207
32	7363	104210
33	7556	103566
34	7818	103872
35	8027	103469
36	8197	102584
37	8528	103685
38	8767	103638
39	8911	102476
40	9118	102079
41	9405	102563
42	9659	102661
43	9866	102251
44	10060	101718
45	10226	100933
46	10399	100236
47	10596	99785
48	10812	99523
49	10972	98755
50	11151	98172
51	11313	97469
52	11556	97464
53	11725	96846
54	11913	96387
55	12116	96066
56	12269	95361
57	12494	95217
58	12660	94629
59	12818	94003
60	13029	93770
61	13247	93584
62	13409	93015
63	13537	92221
64	13714	91782
65	13826	90921
66	13965	90257
67	14126	89743
68	14316	89425
69	14474	88913
70	14644	88484
71	14865	88367
72	15037	87956
73	15339	88303
74	15513	87909
75	15771	87990
76	15913	87423
77	16055	86864
78	16203	86348
79	16350	85841
80	16542	85569
81	16705	85156
82	16837	84594
83	16980	84094
84	17170	83831
85	17316	83360
86	17515	83148
87	17701	82873
88	17861	82484
89	18014	82065
90	18225	81914
91	18360	81426
92	18473	80844
93	18607	80368
94	18757	79965
95	18884	79470
96	18969	78810
97	19095	78330
98	19216	77837
99	19307	77230
100	19395	76622
101	19566	76349
102	19752	76131
103	19977	76068
104	20184	75931
105	20322	75538
106	20486	75245
107	20640	74916
108	20774	74520
109	20945	74260
110	21092	73918
111	21282	73729
112	21396	73277
113	21517	72857
114	21636	72436
115	21803	72178
116	21982	71958
117	22114	71590
118	22195	71063
119	22336	70732
120	22500	70477
121	22638	70141
122	22788	69846
123	22925	69515
124	23078	69236
125	23229	68950
126	23362	68615
127	23533	68394
128	23680	68103
129	23870	67938
130	23979	67545
131	24123	67252
132	24336	67153
133	24506	66934
134	24638	66616
135	24764	66280
136	24888	65945
137	25012	65612
138	25156	65334
139	25288	65027
140	25449	64797
141	25561	64444
142	25717	64204
143	25861	63936
144	25989	63630
145	26107	63301
146	26227	62981
147	26354	62679
148	26497	62421
149	26604	62076
150	26717	61751
151	26861	61497
152	26970	61167
153	27103	60894
154	27232	60614
155	27362	60338
156	27473	60021
157	27598	59738
158	27722	59455
159	27842	59166
160	27976	58907
161	28073	58573
162	28185	58272
163	28280	57940
